Package,LibPath,Version,Priority,Depends,Imports,LinkingTo,Suggests,Enhances,License,License_is_FOSS,License_restricts_use,OS_type,MD5sum,NeedsCompilation,Built
abind,/work/islet_cartography_scrna/r_library,1.4-8,NA,R (>= 1.5.0),"methods, utils",NA,NA,NA,MIT + file LICENSE,NA,NA,NA,NA,no,4.4.0
anndata,/work/islet_cartography_scrna/r_library,0.8.0,NA,R (>= 3.5.0),"assertthat, cli, lifecycle, Matrix, methods, R6, reticulate
(>= 1.41)",NA,"stats, testthat, knitr, rmarkdown",NA,MIT + file LICENSE,NA,NA,NA,NA,no,4.4.0
AnnotationDbi,/work/islet_cartography_scrna/r_library,1.68.0,NA,"R (>= 2.7.0), methods, stats4, BiocGenerics (>= 0.29.2),
Biobase (>= 1.17.0), IRanges","DBI, RSQLite, S4Vectors (>= 0.9.25), stats, KEGGREST",NA,"utils, hgu95av2.db, GO.db, org.Sc.sgd.db, org.At.tair.db,
RUnit, TxDb.Hsapiens.UCSC.hg19.knownGene, org.Hs.eg.db,
reactome.db, AnnotationForge, graph, EnsDb.Hsapiens.v75,
BiocStyle, knitr",NA,Artistic-2.0,NA,NA,NA,NA,no,4.4.3
archive,/work/islet_cartography_scrna/r_library,1.1.12,NA,R (>= 3.6.0),"cli, glue, rlang, tibble",cli,"covr, testthat",NA,MIT + file LICENSE,NA,NA,NA,NA,yes,4.4.0
aricode,/work/islet_cartography_scrna/r_library,1.0.3,NA,NA,"Matrix, Rcpp",Rcpp,"testthat, spelling",NA,GPL (>= 3),NA,NA,NA,NA,yes,4.4.0
arrow,/work/islet_cartography_scrna/r_library,22.0.0,NA,R (>= 4.1),"assertthat, bit64 (>= 0.9-7), glue, methods, purrr, R6, rlang
(>= 1.0.0), stats, tidyselect (>= 1.0.0), utils, vctrs",cpp11 (>= 0.4.2),"blob, curl, cli, DBI, dbplyr, decor, distro, dplyr, duckdb
(>= 0.2.8), hms, jsonlite, knitr, lubridate, pillar, pkgload,
reticulate, rmarkdown, stringi, stringr, sys, testthat (>=
3.1.0), tibble, tzdb, withr",NA,Apache License (>= 2.0),NA,NA,NA,NA,yes,4.4.0
assertthat,/work/islet_cartography_scrna/r_library,0.2.1,NA,NA,tools,NA,"testthat, covr",NA,GPL-3,NA,NA,NA,NA,no,4.4.0
assorthead,/work/islet_cartography_scrna/r_library,1.0.1,NA,NA,NA,NA,"knitr, rmarkdown, BiocStyle",NA,MIT + file LICENSE,NA,NA,NA,NA,no,4.4.3
beachmat,/work/islet_cartography_scrna/r_library,2.22.0,NA,NA,"methods, DelayedArray (>= 0.27.2), SparseArray, BiocGenerics,
Matrix, Rcpp","Rcpp, assorthead","testthat, BiocStyle, knitr, rmarkdown, rcmdcheck,
BiocParallel, HDF5Array, beachmat.hdf5",NA,GPL-3,NA,NA,NA,NA,yes,4.4.3
beeswarm,/work/islet_cartography_scrna/r_library,0.4.0,NA,NA,"stats, graphics, grDevices, utils",NA,NA,NA,Artistic-2.0,NA,NA,NA,NA,yes,4.4.0
bench,/work/islet_cartography_scrna/r_library,1.1.4,NA,R (>= 4.0.0),"glue (>= 1.8.0), methods, pillar (>= 1.10.1), profmem (>=
0.6.0), rlang (>= 1.1.4), stats, tibble (>= 3.2.1), utils",NA,"covr, dplyr, forcats, ggbeeswarm, ggplot2 (>= 3.5.1),
ggridges, parallel, scales, testthat (>= 3.2.3), tidyr (>=
1.3.1), vctrs (>= 0.6.5), withr",NA,MIT + file LICENSE,NA,NA,NA,NA,yes,4.4.0
BH,/work/islet_cartography_scrna/r_library,1.87.0-1,NA,NA,NA,NA,NA,NA,BSL-1.0,NA,NA,NA,NA,no,4.4.0
Biobase,/work/islet_cartography_scrna/r_library,2.66.0,NA,"R (>= 2.10), BiocGenerics (>= 0.27.1), utils",methods,NA,"tools, tkWidgets, ALL, RUnit, golubEsets, BiocStyle, knitr,
limma",NA,Artistic-2.0,NA,NA,NA,NA,yes,4.4.3
BiocGenerics,/work/islet_cartography_scrna/r_library,0.52.0,NA,"R (>= 4.0.0), methods, utils, graphics, stats","methods, utils, graphics, stats",NA,"Biobase, S4Vectors, IRanges, S4Arrays, SparseArray,
DelayedArray, HDF5Array, GenomicRanges, pwalign, Rsamtools,
AnnotationDbi, affy, affyPLM, DESeq2, flowClust, MSnbase,
annotate, RUnit",NA,Artistic-2.0,NA,NA,NA,NA,no,4.4.3
BiocIO,/work/islet_cartography_scrna/r_library,1.16.0,NA,R (>= 4.3.0),"BiocGenerics, S4Vectors, methods, tools",NA,"testthat, knitr, rmarkdown, BiocStyle",NA,Artistic-2.0,NA,NA,NA,NA,no,4.4.3
